Jahr,Verwaltungsregion,Träger,Bildungsart,Typ,Unterrichtssprache,Anzahl_Total,Anzahl_Frauen,Anzahl_Männer
2014,Biel-Seeland,öffentliche Schule,Berufsmaturität II - gewerbliche Richtung,Berufsmaturität II,deutsch,32,14,18
2014,Biel-Seeland,öffentliche Schule,Passerelle Berufsmaturität - UH,Passerelle,französisch,12,6,6
2014,Biel-Seeland,private Schule,Berufsmaturität I - kaufmännische Richtung,Berufsmaturität I,deutsch,27,15,12
2014,Biel-Seeland,private Schule,Berufsmaturität II - kaufmännische Richtung,Berufsmaturität II,deutsch,30,14,16
2014,Biel-Seeland,private Schule,Berufsmaturität II - kaufmännische Richtung,Berufsmaturität II,französisch,8,2,6
2014,Oberland,öffentliche Schule,MAR eine moderne Sprache,gymnasiale Maturität,deutsch,53,46,7
2014,Oberland,öffentliche Schule,MAR Physik und Anwendungen der Mathematik,gymnasiale Maturität,deutsch,39,12,27
2014,Oberland,öffentliche Schule,MAR Biologie und Chemie,gymnasiale Maturität,deutsch,76,40,36
2014,Oberland,öffentliche Schule,MAR Wirtschaft und Recht,gymnasiale Maturität,deutsch,44,14,30
2014,Oberland,öffentliche Schule,"MAR Philosophie, Pädagogik, Psychologie",gymnasiale Maturität,deutsch,41,37,4
2014,Oberland,öffentliche Schule,MAR bildnerisches Gestalten,gymnasiale Maturität,deutsch,37,33,4
2014,Oberland,öffentliche Schule,MAR Musik,gymnasiale Maturität,deutsch,37,26,11
2014,Oberland,öffentliche Schule,Berufsmaturität I - technische Richtung,Berufsmaturität I,deutsch,34,3,31
2014,Oberland,öffentliche Schule,Berufsmaturität I - kaufmännische Richtung,Berufsmaturität I,deutsch,11,7,4
2014,Oberland,öffentliche Schule,Berufsmaturität II - technische Richtung,Berufsmaturität II,deutsch,56,1,55
2014,Oberland,private Schule,Berufsmaturität I - kaufmännische Richtung,Berufsmaturität I,deutsch,34,15,19
2014,Oberland,private Schule,Berufsmaturität II - kaufmännische Richtung,Berufsmaturität II,deutsch,99,60,39
2014,Emmetal-Oberaargau,öffentliche Schule,MAR alte Sprachen,gymnasiale Maturität,deutsch,24,23,1
2014,Emmetal-Oberaargau,öffentliche Schule,MAR eine moderne Sprache,gymnasiale Maturität,deutsch,18,7,11
2014,Emmetal-Oberaargau,öffentliche Schule,MAR Physik und Anwendungen der Mathematik,gymnasiale Maturität,deutsch,50,31,19
2014,Emmetal-Oberaargau,öffentliche Schule,MAR Biologie und Chemie,gymnasiale Maturität,deutsch,30,18,12
2014,Emmetal-Oberaargau,öffentliche Schule,MAR Wirtschaft und Recht,gymnasiale Maturität,deutsch,76,40,36
2014,Emmetal-Oberaargau,öffentliche Schule,"MAR Philosophie, Pädagogik, Psychologie",gymnasiale Maturität,deutsch,28,21,7
2014,Emmetal-Oberaargau,öffentliche Schule,MAR bildnerisches Gestalten,gymnasiale Maturität,deutsch,31,24,7
2014,Emmetal-Oberaargau,öffentliche Schule,MAR Musik,gymnasiale Maturität,deutsch,8,1,7
2014,Emmetal-Oberaargau,öffentliche Schule,Berufsmaturität I - technische Richtung,Berufsmaturität I,deutsch,28,4,24
2014,Emmetal-Oberaargau,öffentliche Schule,Berufsmaturität II - technische Richtung,Berufsmaturität II,deutsch,61,37,24
2014,Emmetal-Oberaargau,öffentliche Schule,Berufsmaturität II - gesundheitliche und soziale Richtung,Berufsmaturität II,deutsch,19,15,4
2014,Emmetal-Oberaargau,private Schule,Berufsmaturität I - kaufmännische Richtung,Berufsmaturität I,deutsch,35,27,8
2014,Emmetal-Oberaargau,private Schule,Berufsmaturität II - kaufmännische Richtung,Berufsmaturität II,deutsch,15,1,14
2014,Berner Jura,öffentliche Schule,Berufsmaturität I - technische Richtung,Berufsmaturität I,französisch,118,97,21
2014,Berner Jura,öffentliche Schule,Berufsmaturität I - kaufmännische Richtung,Berufsmaturität I,französisch,63,15,48
2014,Berner Jura,öffentliche Schule,Berufsmaturität II - technische Richtung,Berufsmaturität II,französisch,12,2,10
2014,Berner Jura,öffentliche Schule,Berufsmaturität II - gesundheitliche und soziale Richtung,Berufsmaturität II,französisch,19,16,3
