Jahr,Verwaltungsregion_Code,Verwaltungsregion_Bez,Träger_Code,Träger_Bez,Bildungsart_Code,Bildungsart_Bez,Typ_Code,Typ_Bez,Unterrichtssprache_Code,Unterrichtssprache_Bez,Anzahl_Total,Anzahl_Frauen,Anzahl_Männer
2014,2,Biel-Seeland,190,öffentliche Schule,10316000,"MAR Philosophie, Pädagogik, Psychologie",3,gymnasiale Maturität,1,deutsch,33,28,5
2014,2,Biel-Seeland,190,öffentliche Schule,10316000,"MAR Philosophie, Pädagogik, Psychologie",3,gymnasiale Maturität,2,französisch,11,10,1
2014,2,Biel-Seeland,190,öffentliche Schule,10317000,MAR bildnerisches Gestalten,3,gymnasiale Maturität,1,deutsch,14,12,2
2014,2,Biel-Seeland,190,öffentliche Schule,10317000,MAR bildnerisches Gestalten,3,gymnasiale Maturität,2,französisch,15,11,4
2014,2,Biel-Seeland,190,öffentliche Schule,10318000,MAR Musik,3,gymnasiale Maturität,1,deutsch,13,9,4
2014,2,Biel-Seeland,190,öffentliche Schule,10318000,MAR Musik,3,gymnasiale Maturität,2,französisch,4,2,2
2014,2,Biel-Seeland,190,öffentliche Schule,10341000,Berufsmaturität I - technische Richtung,1,Berufsmaturität I,1,deutsch,41,10,31
2014,2,Biel-Seeland,190,öffentliche Schule,10341000,Berufsmaturität I - technische Richtung,1,Berufsmaturität I,2,französisch,13,8,5
2014,2,Biel-Seeland,190,öffentliche Schule,10342000,Berufsmaturität I - kaufmännische Richtung,1,Berufsmaturität I,1,deutsch,27,12,15
2014,2,Biel-Seeland,190,öffentliche Schule,10342000,Berufsmaturität I - kaufmännische Richtung,1,Berufsmaturität I,2,französisch,11,5,6
2014,2,Biel-Seeland,190,öffentliche Schule,10351000,Berufsmaturität II - technische Richtung,2,Berufsmaturität II,1,deutsch,65,18,47
2014,2,Biel-Seeland,190,öffentliche Schule,10354000,Berufsmaturität II - gewerbliche Richtung,2,Berufsmaturität II,1,deutsch,32,14,18
2014,2,Biel-Seeland,190,öffentliche Schule,10364000,Passerelle Berufsmaturität - UH,4,Passerelle,2,französisch,12,6,6
2014,2,Biel-Seeland,191,private Schule,10342000,Berufsmaturität I - kaufmännische Richtung,1,Berufsmaturität I,1,deutsch,27,15,12
2014,2,Biel-Seeland,191,private Schule,10352000,Berufsmaturität II - kaufmännische Richtung,2,Berufsmaturität II,1,deutsch,30,14,16
2014,2,Biel-Seeland,191,private Schule,10352000,Berufsmaturität II - kaufmännische Richtung,2,Berufsmaturität II,2,französisch,8,2,6
2014,3,Oberland,190,öffentliche Schule,10312000,MAR eine moderne Sprache,3,gymnasiale Maturität,1,deutsch,53,46,7
2014,3,Oberland,190,öffentliche Schule,10313000,MAR Physik und Anwendungen der Mathematik,3,gymnasiale Maturität,1,deutsch,39,12,27
2014,3,Oberland,190,öffentliche Schule,10314000,MAR Biologie und Chemie,3,gymnasiale Maturität,1,deutsch,76,40,36
2014,3,Oberland,190,öffentliche Schule,10315000,MAR Wirtschaft und Recht,3,gymnasiale Maturität,1,deutsch,44,14,30
2014,3,Oberland,190,öffentliche Schule,10316000,"MAR Philosophie, Pädagogik, Psychologie",3,gymnasiale Maturität,1,deutsch,41,37,4
2014,3,Oberland,190,öffentliche Schule,10317000,MAR bildnerisches Gestalten,3,gymnasiale Maturität,1,deutsch,37,33,4
2014,3,Oberland,190,öffentliche Schule,10318000,MAR Musik,3,gymnasiale Maturität,1,deutsch,37,26,11
2014,3,Oberland,190,öffentliche Schule,10341000,Berufsmaturität I - technische Richtung,1,Berufsmaturität I,1,deutsch,34,3,31
2014,3,Oberland,190,öffentliche Schule,10342000,Berufsmaturität I - kaufmännische Richtung,1,Berufsmaturität I,1,deutsch,11,7,4
2014,3,Oberland,190,öffentliche Schule,10351000,Berufsmaturität II - technische Richtung,2,Berufsmaturität II,1,deutsch,56,1,55
2014,3,Oberland,191,private Schule,10342000,Berufsmaturität I - kaufmännische Richtung,1,Berufsmaturität I,1,deutsch,34,15,19
2014,3,Oberland,191,private Schule,10352000,Berufsmaturität II - kaufmännische Richtung,2,Berufsmaturität II,1,deutsch,99,60,39
2014,4,Emmetal-Oberaargau,190,öffentliche Schule,10311000,MAR alte Sprachen,3,gymnasiale Maturität,1,deutsch,24,23,1
2014,4,Emmetal-Oberaargau,190,öffentliche Schule,10312000,MAR eine moderne Sprache,3,gymnasiale Maturität,1,deutsch,18,7,11
2014,4,Emmetal-Oberaargau,190,öffentliche Schule,10313000,MAR Physik und Anwendungen der Mathematik,3,gymnasiale Maturität,1,deutsch,50,31,19
2014,4,Emmetal-Oberaargau,190,öffentliche Schule,10314000,MAR Biologie und Chemie,3,gymnasiale Maturität,1,deutsch,30,18,12
2014,4,Emmetal-Oberaargau,190,öffentliche Schule,10315000,MAR Wirtschaft und Recht,3,gymnasiale Maturität,1,deutsch,76,40,36
2014,4,Emmetal-Oberaargau,190,öffentliche Schule,10316000,"MAR Philosophie, Pädagogik, Psychologie",3,gymnasiale Maturität,1,deutsch,28,21,7
2014,4,Emmetal-Oberaargau,190,öffentliche Schule,10317000,MAR bildnerisches Gestalten,3,gymnasiale Maturität,1,deutsch,31,24,7
2014,4,Emmetal-Oberaargau,190,öffentliche Schule,10318000,MAR Musik,3,gymnasiale Maturität,1,deutsch,8,1,7
2014,4,Emmetal-Oberaargau,190,öffentliche Schule,10341000,Berufsmaturität I - technische Richtung,1,Berufsmaturität I,1,deutsch,28,4,24
2014,4,Emmetal-Oberaargau,190,öffentliche Schule,10351000,Berufsmaturität II - technische Richtung,2,Berufsmaturität II,1,deutsch,61,37,24
2014,4,Emmetal-Oberaargau,190,öffentliche Schule,10356000,Berufsmaturität II - gesundheitliche und soziale Richtung,2,Berufsmaturität II,1,deutsch,19,15,4
2014,4,Emmetal-Oberaargau,191,private Schule,10342000,Berufsmaturität I - kaufmännische Richtung,1,Berufsmaturität I,1,deutsch,35,27,8
2014,4,Emmetal-Oberaargau,191,private Schule,10352000,Berufsmaturität II - kaufmännische Richtung,2,Berufsmaturität II,1,deutsch,15,1,14
2014,5,Berner Jura,190,öffentliche Schule,10341000,Berufsmaturität I - technische Richtung,1,Berufsmaturität I,2,französisch,118,97,21
2014,5,Berner Jura,190,öffentliche Schule,10342000,Berufsmaturität I - kaufmännische Richtung,1,Berufsmaturität I,2,französisch,63,15,48
2014,5,Berner Jura,190,öffentliche Schule,10351000,Berufsmaturität II - technische Richtung,2,Berufsmaturität II,2,französisch,12,2,10
2014,5,Berner Jura,190,öffentliche Schule,10356000,Berufsmaturität II - gesundheitliche und soziale Richtung,2,Berufsmaturität II,2,französisch,19,16,3
